Cycle,IF,ID,EX,MEM,WB,Event
190,"ZMUL t3, t3, t4","BUBBLE","LW   t4, 0(t1)","BUBBLE","BUBBLE",""
191,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","LW   t4, 0(t1)","BUBBLE",""
192,"ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE","LW   t4, 0(t1)",""
193,"ADD  t5, t5, t3","ZMUL t3, t3, t4","BUBBLE","BUBBLE","BUBBLE",""
194,"ADD  t5, t5, t3","BUBBLE","ZMUL t3, t3, t4","BUBBLE","BUBBLE",""
195,"ADD  t5, t5, t3","BUBBLE","BUBBLE","ZMUL t3, t3, t4","BUBBLE",""
196,"ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE","ZMUL t3, t3, t4",""
197,"ADDI t0, t0, 1","ADD  t5, t5, t3","BUBBLE","BUBBLE","BUBBLE",""
198,"ADDI t0, t0, 1","BUBBLE","ADD  t5, t5, t3","BUBBLE","BUBBLE",""
199,"ADDI t0, t0, 1","BUBBLE","BUBBLE","ADD  t5, t5, t3","BUBBLE",""
200,"ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE","ADD  t5, t5, t3",""
201,"ADDI t1, t1, 1","ADDI t0, t0, 1","BUBBLE","BUBBLE","BUBBLE",""
202,"ADDI t1, t1, 1","BUBBLE","ADDI t0, t0, 1","BUBBLE","BUBBLE",""
203,"ADDI t1, t1, 1","BUBBLE","BUBBLE","ADDI t0, t0, 1","BUBBLE",""
204,"ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE","ADDI t0, t0, 1",""
205,"ADDI t2, t2, -1","ADDI t1, t1, 1","BUBBLE","BUBBLE","BUBBLE",""
206,"ADDI t2, t2, -1","BUBBLE","ADDI t1, t1, 1","BUBBLE","BUBBLE",""
207,"ADDI t2, t2, -1","BUBBLE","BUBBLE","ADDI t1, t1, 1","BUBBLE",""
208,"ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE","ADDI t1, t1, 1",""
209,"JMP  LOOP_ZMUL","ADDI t2, t2, -1","BUBBLE","BUBBLE","BUBBLE",""
210,"JMP  LOOP_ZMUL","BUBBLE","ADDI t2, t2, -1","BUBBLE","BUBBLE",""
211,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","ADDI t2, t2, -1","BUBBLE",""
212,"JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE","ADDI t2, t2, -1",""
213,"BZERO t2, PART2","JMP  LOOP_ZMUL","BUBBLE","BUBBLE","BUBBLE",""
214,"BZERO t2, PART2","BUBBLE","JMP  LOOP_ZMUL","BUBBLE","BUBBLE",""
215,"BZERO t2, PART2","BUBBLE","BUBBLE","JMP  LOOP_ZMUL","BUBBLE",""
216,"BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE","JMP  LOOP_ZMUL",""
217,"LW   t3, 0(t0)","BZERO t2, PART2","BUBBLE","BUBBLE","BUBBLE",""
